Pruning,Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0.6,32,21.272,6m5s,98.69,96.86
0.6,48,19.025,6m3s,98.93,97.1
0.6,64,17.692,9m6s,98.99,97.15
0.6,96,16.092,6m4s,99.08,97.26
0.6,128,15.113,9m8s,99.1,97.37
0.6,192,13.903,9m10s,99.13,97.39
0.6,256,13.143,9m11s,99.14,97.5
0.6,384,12.178,6m12s,99.14,97.43
0.6,512,11.554,6m14s,99.16,97.41
0.7,32,18.24,9m49s,9.48,8.85
0.7,48,16.316,9m51s,98.9,97.07
0.7,64,15.175,6m34s,99.01,97.21
0.7,96,13.806,13m11s,99.12,97.45
0.7,128,12.969,9m53s,99.11,97.29
0.7,192,11.936,9m56s,99.18,97.4
0.7,256,11.288,9m51s,99.18,97.34
0.7,384,10.468,10m1s,99.2,97.4
0.7,512,9.939,6m53s,99.21,97.4
0.8,32,15.965,10m43s,98.71,97.07
0.8,48,14.282,14m26s,98.94,97.15
0.8,64,13.285,10m45s,98.92,97.21
0.8,96,12.089,10m41s,99.02,97.3
0.8,128,11.358,10m41s,99.13,97.39
0.8,192,10.457,10m43s,99.14,97.3
0.8,256,9.892,14m17s,99.16,97.31
0.8,384,9.179,10m46s,99.2,97.48
0.8,512,8.72,10m54s,99.2,97.42
0.9,32,14.195,7m32s,19.19,19.83
0.9,48,12.7,10m55s,98.86,96.94
0.9,64,11.814,10m57s,98.84,97.16
0.9,96,10.752,14m32s,99.1,97.33
0.9,128,10.103,14m33s,99.13,97.46
0.9,192,9.304,14m35s,99.15,97.54
0.9,256,8.804,11m1s,99.17,97.4
0.9,384,8.173,11m2s,99.2,97.38
0.9,512,7.768,11m40s,99.2,97.55
