Pruning,Cluster,Compression Rate,Training Time,Acc Training,Acc Testing
0.1,32,125.81,20m32s,98.59,97.67
0.1,48,111.97,11m48s,98.59,97.58
0.1,64,103.66,15m53s,98.67,97.69
0.1,96,93.48,11m52s,98.63,97.64
0.1,128,87.09,11m52s,98.62,97.62
0.1,192,78.94,15m53s,98.66,97.7
0.1,256,73.59,15m52s,98.68,97.66
0.2,32,63.45,9m54s,98.87,97.39
0.2,48,56.63,9m53s,99.0,97.71
0.2,64,52.57,9m56s,99.07,97.78
0.2,96,47.65,9m49s,99.1,97.9
0.2,128,44.6,14m45s,99.11,97.9
0.2,192,40.78,9m59s,99.12,97.9
0.2,256,38.33,9m51s,99.14,97.95
0.2,384,35.14,19m50s,99.16,98.03
0.2,512,33.0,14m58s,99.16,97.94
0.3,32,42.42,17m38s,98.98,97.56
0.3,48,37.9,11m44s,99.01,97.62
0.3,64,35.21,11m47s,99.14,97.73
0.3,96,31.97,17m26s,99.23,97.81
0.3,128,29.98,11m37s,99.25,97.81
0.3,192,27.49,11m39s,99.25,97.9
0.3,256,25.91,11m40s,99.26,97.92
0.3,384,23.88,11m42s,99.28,97.87
0.3,512,22.54,17m53s,99.31,97.95
0.3,768,20.75,17m47s,99.31,97.98
0.4,32,31.86,28m12s,99.04,97.63
0.4,48,28.48,13m43s,99.01,97.61
0.4,64,26.47,20m46s,99.23,97.9
0.4,96,24.06,13m43s,99.26,97.88
0.4,128,22.58,13m27s,99.27,98.04
0.4,192,20.74,20m35s,99.32,97.93
0.4,256,19.57,20m39s,99.29,97.91
0.4,384,18.09,20m37s,99.35,97.93
0.4,512,17.12,14m3s,99.32,97.93
0.4,768,15.83,20m55s,99.37,97.96
0.4,1024,14.96,21m4s,99.36,97.9
0.5,32,25.51,23m27s,98.91,97.57
0.5,48,22.81,30m54s,53.4,54.05
0.5,64,21.21,88m5s,61.2,61.74
0.5,96,19.29,15m45s,99.17,97.66
0.5,128,18.11,31m31s,99.25,97.91
0.5,192,16.65,15m21s,99.25,97.93
0.5,256,15.73,15m14s,99.28,97.9
0.5,384,14.56,22m55s,99.31,97.93
0.5,512,13.8,23m2s,99.32,97.89
0.5,768,12.8,15m16s,99.31,97.92
0.5,1024,12.12,15m35s,99.32,97.94
0.6,32,21.27,27m18s,42.27,42.43
0.6,48,19.02,26m46s,98.51,97.07
0.6,64,17.69,35m42s,99.12,97.64
0.6,96,16.09,17m17s,98.99,97.56
0.6,128,15.11,26m29s,99.24,97.91
0.6,192,13.9,27m30s,99.3,97.96
0.6,256,13.14,18m23s,99.28,97.85
0.6,384,12.18,25m59s,99.33,97.98
0.6,512,11.55,17m5s,99.33,97.9
0.6,768,10.74,17m7s,99.34,97.86
0.6,1024,10.19,25m52s,99.34,97.98
0.6,1536,9.45,27m18s,99.36,97.98
0.7,32,18.24,48m47s,98.66,97.17
0.7,48,16.32,142m38s,99.15,97.56
0.7,64,15.18,18m58s,99.09,97.68
0.7,96,13.81,30m8s,99.22,97.7
0.7,128,12.97,19m2s,99.27,97.84
0.7,192,11.94,28m26s,99.34,97.85
0.7,256,11.29,18m51s,99.35,98.15
0.7,384,10.47,19m31s,99.36,98.13
0.7,512,9.94,28m24s,99.39,98.07
0.7,768,9.25,28m37s,99.38,98.06
0.7,1024,8.79,19m19s,99.38,98.01
0.7,1536,8.18,29m12s,99.41,98.01
0.7,2048,7.75,29m37s,99.4,98.0
0.8,32,15.97,51m43s,98.85,97.4
0.8,48,14.28,31m9s,98.97,97.61
0.8,64,13.29,52m35s,99.11,97.59
0.8,96,12.09,30m55s,99.13,97.89
0.8,128,11.36,30m20s,99.17,97.86
0.8,192,10.46,30m39s,99.23,97.93
0.8,256,9.89,20m14s,99.25,97.91
0.8,384,9.18,20m46s,99.26,98.01
0.8,512,8.72,20m52s,99.29,97.92
0.8,768,8.12,20m46s,99.3,97.99
0.8,1024,7.73,42m6s,99.34,98.07
0.8,1536,7.2,31m37s,99.32,98.03
0.8,2048,6.84,31m54s,99.34,98.04
0.9,32,14.19,43m24s,37.76,37.98
0.9,48,12.7,76m30s,99.2,97.66
0.9,64,11.81,54m2s,99.12,97.68
0.9,96,10.75,34m1s,99.29,97.96
0.9,128,10.1,43m23s,99.1,97.79
0.9,192,9.3,32m19s,99.32,97.83
0.9,256,8.8,32m41s,99.33,98.01
0.9,384,8.17,32m28s,99.35,97.98
0.9,512,7.77,32m38s,99.35,97.97
0.9,768,7.24,33m4s,99.38,98.07
0.9,1024,6.9,44m28s,99.4,98.07
0.9,1536,6.44,22m50s,99.38,98.01
0.9,2048,6.12,33m49s,99.39,98.0
